Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
championship	500	229	404	197	9.8	2.6998	2.73	2.3617	4.0
identical	282	228	250	207	5.53	2.4518	2.72	2.3598	4.0
Ambassador	689	226	306	157	13.51	2.8388	2.69	2.356	4.0
psychology	279	224	236	192	5.47	2.4472	2.67	2.3522	4.0
irrelevant	262	223	242	210	5.14	2.42	2.66	2.3502	4.0
embarrassment	247	222	244	219	4.84	2.3945	2.65	2.3483	4.0
overwhelming	251	222	244	217	4.92	2.4014	2.65	2.3483	4.0
delivering	243	221	230	214	4.76	2.3874	2.63	2.3464	4.0
interior	267	220	257	212	5.24	2.4281	2.62	2.3444	4.0
confirmation	280	219	267	214	5.49	2.4487	2.61	2.3424	4.0
concentration	282	217	249	207	5.53	2.4518	2.59	2.3385	4.0
economy	296	217	283	212	5.8	2.4728	2.59	2.3385	4.0
permanently	245	217	213	193	4.8	2.3909	2.59	2.3385	4.0
democracy	337	216	308	204	6.61	2.5289	2.58	2.3365	4.0
engineering	333	216	241	183	6.53	2.5237	2.58	2.3365	4.0
expectations	268	215	243	208	5.25	2.4298	2.56	2.3345	4.0
imagining	247	214	231	200	4.84	2.3945	2.55	2.3324	4.0
underwater	323	214	295	203	6.33	2.5105	2.55	2.3324	4.0
accompany	242	213	233	209	4.75	2.3856	2.54	2.3304	4.0
jurisdiction	271	213	262	211	5.31	2.4346	2.54	2.3304	4.0
abilities	312	209	306	208	6.12	2.4955	2.49	2.3222	4.0
majority	261	208	239	196	5.12	2.4183	2.48	2.3201	4.0
professionals	231	208	209	195	4.53	2.3655	2.48	2.3201	4.0
violated	233	208	231	206	4.57	2.3692	2.48	2.3201	4.0
prosecution	401	207	365	195	7.86	2.6042	2.47	2.3181	4.0
elementary	242	206	159	148	4.75	2.3856	2.46	2.316	4.0
associates	250	205	217	185	4.9	2.3997	2.44	2.3139	4.0
coordinates	348	205	323	196	6.82	2.5428	2.44	2.3139	4.0
interference	237	205	225	197	4.65	2.3766	2.44	2.3139	4.0
radiation	419	205	364	190	8.22	2.6232	2.44	2.3139	4.0
Connecticut	323	201	2	2	6.33	2.5105	2.4	2.3054	4.0
realistic	235	201	230	197	4.61	2.3729	2.4	2.3054	4.0
Constitution	282	200	93	73	5.53	2.4518	2.38	2.3032	4.0
representing	233	200	226	193	4.57	2.3692	2.38	2.3032	4.0
facilities	232	199	228	196	4.55	2.3674	2.37	2.301	4.0
recognition	233	199	227	197	4.57	2.3692	2.37	2.301	4.0
inconvenience	226	198	224	197	4.43	2.356	2.36	2.2989	4.0
participate	224	197	222	197	4.39	2.3522	2.35	2.2967	4.0
politicians	277	197	242	174	5.43	2.444	2.35	2.2967	4.0
experiments	335	196	326	192	6.57	2.5263	2.34	2.2945	4.0
February	280	196	7	7	5.49	2.4487	2.34	2.2945	4.0
laboratory	331	196	314	187	6.49	2.5211	2.34	2.2945	4.0
terrifying	217	196	197	180	4.25	2.3385	2.34	2.2945	4.0
devastated	215	195	210	191	4.22	2.3345	2.32	2.2923	4.0
disappearing	215	195	196	180	4.22	2.3345	2.32	2.2923	4.0
mechanical	250	195	224	183	4.9	2.3997	2.32	2.2923	4.0
continuing	204	194	182	173	4.0	2.3118	2.31	2.29	4.0
contribution	223	194	221	192	4.37	2.3502	2.31	2.29	4.0
ammunition	300	193	283	187	5.88	2.4786	2.3	2.2878	4.0
automobile	291	193	281	189	5.71	2.4654	2.3	2.2878	4.0
inventory	238	193	220	184	4.67	2.3784	2.3	2.2878	4.0
virtually	209	193	194	179	4.1	2.3222	2.3	2.2878	4.0
biology	250	192	203	162	4.9	2.3997	2.29	2.2856	4.0
economic	253	192	236	182	4.96	2.4048	2.29	2.2856	4.0
Hallelujah	476	192	84	51	9.33	2.6785	2.29	2.2856	4.0
humiliate	213	192	197	181	4.18	2.3304	2.29	2.2856	4.0
